Date,Price,Open,High,Low,Volume,
23-Apr-09,324.99,332.84,332.84,315.95,12.28M,
24-Apr-09,344.2,324.35,349.69,324.35,15.16M,
27-Apr-09,341.4,339.73,347.26,335.23,7.55M,
28-Apr-09,332.54,344.27,344.27,327.33,9.66M,
29-Apr-09,345.58,346.61,347.99,327.79,14.81M,
4-May-09,348.56,351.36,363.92,344.45,18.13M,
5-May-09,344.66,364.52,364.52,339.06,8.82M,
6-May-09,347.76,341.98,353.96,339.57,10.42M,
7-May-09,359.26,347.76,361.26,347.76,9.70M,
8-May-09,352.74,358.09,361.14,347.07,5.40M,
11-May-09,343.7,353.5,359.35,342.02,5.66M,
12-May-09,364.43,341.56,366.35,339.77,7.07M,
13-May-09,365.32,361.76,377.37,358.55,6.53M,
14-May-09,351.04,360.25,360.25,346.8,8.32M,
15-May-09,367.2,355.75,372.28,351.2,9.10M,
18-May-09,460.56,436.14,475.62,404,134.54K,
19-May-09,420.11,468.27,468.27,408.59,26.04M,
20-May-09,394.66,419.56,419.56,385.91,24.81M,
21-May-09,391.35,393.9,404,383.36,8.42M,
22-May-09,394.63,391.35,397.48,387.43,9.82M,
25-May-09,372.02,397.11,422.36,360.84,25.83M,
26-May-09,354.05,375.08,381.04,347.76,29.57M,
27-May-09,352.95,366.22,366.22,344.32,34.16M,
28-May-09,365.39,357.17,370.35,351.2,38.35M,
29-May-09,376.87,371.86,383.8,366.42,16.17M,
1-Jun-09,369.48,399.41,399.41,358.09,18.66M,
2-Jun-09,367.46,362.68,380.52,362.68,8.93M,
3-Jun-09,366.56,360.11,375.99,360.11,11.27M,
4-Jun-09,374.8,356.71,375.99,356.71,7.36M,
5-Jun-09,379.55,375.54,383.34,370.3,9.28M,
8-Jun-09,373.63,372.62,384.26,369.04,6.10M,
9-Jun-09,372.99,372.78,374.94,364.61,8.33M,
10-Jun-09,383.16,373.01,389.31,370.76,15.58M,
11-Jun-09,392.25,383.16,397.53,383.16,13.84M,
12-Jun-09,380.19,394.77,396.47,376.5,9.20M,
15-Jun-09,376.2,376.91,380.13,371.91,5.32M,
16-Jun-09,371.63,370.07,380.08,361.17,10.44M,
17-Jun-09,368.63,369.48,378.89,364.52,7.88M,
18-Jun-09,369.5,370.3,373.88,364.06,5.58M,
19-Jun-09,370.58,370.49,375.03,363.28,6.51M,
22-Jun-09,363,375.44,375.44,360.43,5.81M,
23-Jun-09,361.03,361.62,364.84,344.78,6.53M,
24-Jun-09,366.49,367.18,368.83,361.03,5.78M,
25-Jun-09,364.45,367.75,373.24,361.44,10.18M,
26-Jun-09,371.91,367.73,374.34,364.98,5.88M,
29-Jun-09,370.6,375.74,375.74,367.34,2.73M,
30-Jun-09,368.26,371.86,373.24,364.56,5.51M,
1-Jul-09,378.4,368.72,380.95,367.29,6.26M,
2-Jul-09,368.69,379.85,380.75,365.11,6.46M,
3-Jul-09,376.02,370.49,377.76,365.85,2.90M,
6-Jul-09,359.44,378.29,379.67,354.21,6.17M,
7-Jul-09,372.94,360.43,378.11,359.72,6.44M,
8-Jul-09,363.85,370.21,371.79,360.48,3.86M,
9-Jul-09,365.3,367.32,370.92,361.3,3.53M,
10-Jul-09,357.01,365.44,365.44,351.66,4.29M,
13-Jul-09,351.82,355.79,358.96,349.46,4.10M,
14-Jul-09,355.01,358.18,359.93,350.38,5.11M,
15-Jul-09,358.23,359.93,364.52,355.79,4.53M,
16-Jul-09,360.32,338.23,367.27,338.23,6.14M,
17-Jul-09,379.32,361.81,383.8,361.81,9.46M,
20-Jul-09,389.79,386.09,391.6,381.09,5.37M,
21-Jul-09,384.67,389.31,396.88,380.42,7.18M,
22-Jul-09,377.83,378.79,385.5,367.23,12.59M,
23-Jul-09,373.74,399.41,399.41,365.16,16.75M,
24-Jul-09,381.92,385.36,391.05,367.41,10.51M,
27-Jul-09,388.85,382.05,393.35,382.05,6.12M,
28-Jul-09,394.4,391.37,400.51,380.68,10.00M,
29-Jul-09,389.95,394.63,398.49,381.23,6.11M,
30-Jul-09,389.31,389.86,393.72,380.22,6.45M,
31-Jul-09,376.55,393.3,395.74,370.94,7.26M,
3-Aug-09,376.87,383.8,383.8,373.24,5.33M,
4-Aug-09,368.01,383.8,384.53,365.44,11.95M,
5-Aug-09,368.6,370.85,372.69,360.29,9.74M,
6-Aug-09,366.63,367.27,368.19,361.76,9.77M,
7-Aug-09,352.49,363.32,375.54,337.48,11.68M,
10-Aug-09,342.48,359.05,366.17,335.18,17.32M,
11-Aug-09,351.16,344.32,356.53,339.86,12.36M,
12-Aug-09,372.32,347.71,375.9,341.65,11.08M,
13-Aug-09,379.3,372.78,381.04,369.11,7.69M,
14-Aug-09,375.31,377.28,379.85,371.22,3.79M,
17-Aug-09,366.12,371.68,372.78,362.68,4.82M,
18-Aug-09,377.42,364.43,381.46,364.43,4.49M,
19-Aug-09,372.28,374.66,380.95,367.73,5.25M,
20-Aug-09,367.32,376.36,377.28,366.35,4.73M,
21-Aug-09,378.01,368.19,379.94,361.17,3.82M,
24-Aug-09,380.4,379.94,384.4,378.29,5.32M,
25-Aug-09,374.66,376.55,380.95,370.3,7.03M,
26-Aug-09,372.23,376.45,378.93,370.12,4.04M,
27-Aug-09,382.42,364.52,387.43,364.52,6.21M,
28-Aug-09,399.59,383.8,403.31,378.84,11.50M,
31-Aug-09,389.86,393.03,401.15,384.72,4.31M,
1-Sep-09,387.7,384.4,397.98,376.91,2.90M,
2-Sep-09,378.84,384.72,390.18,376.45,3.98M,
3-Sep-09,371.82,381.82,384.49,370.16,5.52M,
4-Sep-09,371.86,373.15,375.44,366.4,11.35M,
7-Sep-09,386.19,376.41,391.6,371.86,11.55M,
8-Sep-09,389.31,388.48,392.71,383.89,10.51M,
9-Sep-09,375.86,390.23,390.23,374.11,6.97M,
10-Sep-09,382.42,381.04,389.31,378.84,8.35M,
11-Sep-09,386.74,389.31,391.14,377.51,7.93M,
14-Sep-09,384.99,380.13,385.64,378.89,5.49M,
15-Sep-09,381.6,383.8,388.3,379.21,6.92M,
16-Sep-09,385.54,387.47,390.69,383.71,5.57M,
17-Sep-09,397.39,387.47,402.9,387.47,6.56M,
18-Sep-09,406.71,394.82,412.35,390.27,10.94M,
22-Sep-09,393.49,410.43,411.76,391.42,7.48M,
23-Sep-09,379.67,394.82,394.82,376.04,9.42M,
24-Sep-09,384.99,394.36,445.32,374.75,12.08M,
25-Sep-09,380.63,381.04,385.5,376.77,9.25M,
