Date	Price	Open	High	Low	Volume	Change %
26-Nov-09	225.47	232.94	232.94	224.55	19.34M	-2.90%
27-Nov-09	224.29	222.16	226.9	214.3	26.62M	-0.52%
30-Nov-09	223.96	228	229.22	221.85	27.83M	-0.15%
1-Dec-09	229.16	224.6	229.8	224.31	17.56M	2.32%
2-Dec-09	230.9	230.98	235.17	230.16	17.97M	0.76%
3-Dec-09	235.46	232.9	236.44	230.5	24.35M	1.97%
4-Dec-09	232.81	233	237.5	232.12	21.76M	-1.13%
7-Dec-09	232.18	233.5	234.97	230.63	18.36M	-0.27%
8-Dec-09	230.73	231.46	232.97	227.88	24.81M	-0.62%
9-Dec-09	229.39	229.77	231.9	227.6	18.70M	-0.58%
10-Dec-09	229.69	229	231.2	227.1	16.62M	0.13%
11-Dec-09	226.65	231	232.5	226	20.01M	-1.32%
14-Dec-09	224.69	226.7	228.5	224.06	19.59M	-0.86%
15-Dec-09	218.05	226	226	217.5	28.38M	-2.96%
16-Dec-09	215.26	216.95	219	214.6	27.71M	-1.28%
17-Dec-09	216.62	215.12	217.85	212.53	28.00M	0.63%
18-Dec-09	214.53	215.21	218.1	213.1	18.49M	-0.96%
21-Dec-09	214.57	214.9	216.69	213.51	12.81M	0.02%
22-Dec-09	216.59	215.5	217.55	215.5	9.52M	0.94%
23-Dec-09	221	217.09	221.5	217.09	14.13M	2.04%
24-Dec-09	221.91	223.5	223.5	220.12	11.18M	0.41%
29-Dec-09	222.01	222.51	223.75	220.78	8.27M	0.05%
30-Dec-09	222.43	222.2	223.78	221.22	11.24M	0.19%
31-Dec-09	226.9	223.5	228.37	222.9	24.60M	2.01%
4-Jan-10	229.12	227.5	230	227.5	11.03M	0.98%
5-Jan-10	229.21	230.8	231	228.01	11.61M	0.04%
6-Jan-10	230.58	229.7	231.5	228.5	14.53M	0.60%
7-Jan-10	229.29	230.6	231	228.11	8.58M	-0.56%
8-Jan-10	228.6	229.4	230.39	228.01	10.45M	-0.30%
11-Jan-10	226.72	229.7	231.27	226.32	14.15M	-0.82%
12-Jan-10	220.32	226.7	227	219.62	22.92M	-2.82%
13-Jan-10	217.59	219.5	219.5	215.81	21.72M	-1.24%
14-Jan-10	215.74	218.8	219.9	214.56	20.72M	-0.85%
15-Jan-10	214.34	216.8	217.84	213.68	20.61M	-0.65%
18-Jan-10	215.64	217.5	218.31	214.28	19.22M	0.61%
19-Jan-10	217.31	216.98	218.7	215.7	12.28M	0.77%
20-Jan-10	215.99	218.4	218.66	215.25	16.83M	-0.61%
21-Jan-10	212.41	215.9	216.13	211.23	19.27M	-1.66%
22-Jan-10	208.74	210.01	210.65	205.31	27.19M	-1.73%
25-Jan-10	209.16	205.56	213.7	205.56	15.38M	0.20%
27-Jan-10	198.76	206	206.84	197.11	38.07M	-4.97%
28-Jan-10	200.32	210	210	199.1	27.95M	0.78%
29-Jan-10	205.66	199	206.74	195.5	46.49M	2.67%
1-Feb-10	202.12	214.8	214.8	201.55	22.05M	-1.72%
2-Feb-10	197.84	203.02	204.52	197.41	24.09M	-2.12%
3-Feb-10	199.88	198.63	201.59	198.35	30.45M	1.03%
4-Feb-10	194.79	199.6	199.67	194	35.36M	-2.55%
5-Feb-10	189.78	193	193	186.31	26.88M	-2.57%
6-Feb-10	191.25	191	192.44	189.82	2.10M	0.77%
8-Feb-10	193.66	190	194.78	188.37	18.89M	1.26%
9-Feb-10	195.03	193.1	195.8	192.5	13.84M	0.71%
10-Feb-10	191.19	197	197	189.5	19.73M	-1.97%
11-Feb-10	191.76	192.39	194	191.1	12.43M	0.30%
15-Feb-10	189.5	192.5	192.5	188.63	13.33M	-1.18%
16-Feb-10	192.06	191.4	192.5	189.5	8.07M	1.35%
17-Feb-10	195.69	193.5	196.25	192.72	13.47M	1.89%
18-Feb-10	194.24	195.79	196	192.73	13.10M	-0.74%
19-Feb-10	190.53	192.5	193.4	189	15.86M	-1.91%
22-Feb-10	191.63	192	193.5	191.01	11.53M	0.58%
23-Feb-10	191.19	191.49	193.45	190.66	10.63M	-0.23%
24-Feb-10	192.12	190.6	193	190	8.17M	0.49%
25-Feb-10	191.37	192.5	193	190.34	21.62M	-0.39%
26-Feb-10	197.43	192.5	203.2	191.5	43.22M	3.17%
2-Mar-10	198.66	199.06	201.1	197.42	19.35M	0.62%
3-Mar-10	202.24	198.91	202.59	198.91	15.84M	1.80%
4-Mar-10	203.27	202.3	204.47	201.2	14.30M	0.51%
5-Mar-10	204.72	204.5	205.9	202.11	12.69M	0.71%
8-Mar-10	206.59	206	211.25	203.31	38.66M	0.91%
9-Mar-10	204.46	203.25	207.8	203.25	14.31M	-1.03%
10-Mar-10	203.72	205.02	205.02	202.64	12.77M	-0.36%
11-Mar-10	204.57	204	205.28	201.83	11.98M	0.42%
12-Mar-10	204.79	204.2	206.26	203.87	12.03M	0.11%
15-Mar-10	201.51	203.95	204.47	201.11	9.00M	-1.60%
16-Mar-10	201.59	201.71	202.5	199.76	12.86M	0.04%
17-Mar-10	202.73	202	204.2	201.56	10.78M	0.57%
18-Mar-10	202.97	203	205.05	201.05	14.27M	0.12%
19-Mar-10	205.84	204	206.59	203.33	12.89M	1.41%
22-Mar-10	204.09	202.51	205.38	201	11.15M	-0.85%
23-Mar-10	204.85	204.2	205.66	201.86	13.65M	0.37%
25-Mar-10	204.96	204.47	206.16	202.52	13.65M	0.05%
26-Mar-10	207.28	205.49	207.8	204.5	13.42M	1.13%
29-Mar-10	209.5	207.5	210.5	207.3	11.23M	1.07%
30-Mar-10	208.25	209.5	212.19	207.5	11.93M	-0.60%
31-Mar-10	207.82	208.5	209.89	207.34	10.00M	-0.21%
1-Apr-10	210.26	208	210.8	207.53	7.68M	1.17%
5-Apr-10	213.82	211.5	214.22	210.5	11.08M	1.69%
6-Apr-10	212.35	214.39	214.78	211.21	12.36M	-0.69%
7-Apr-10	211.09	213.03	213.5	209.6	13.00M	-0.59%
8-Apr-10	209.59	210.5	210.98	208.75	11.50M	-0.71%
9-Apr-10	210.61	210	212.5	209.35	12.37M	0.49%
12-Apr-10	209.2	211.5	211.5	208	8.61M	-0.67%
13-Apr-10	209.4	209.7	211.2	206.3	17.62M	0.10%
15-Apr-10	205.41	209.66	210.91	204.8	13.02M	-1.91%
16-Apr-10	204.77	205	205.49	202.53	9.47M	-0.31%
19-Apr-10	203.25	204	204.49	201.2	9.25M	-0.74%
20-Apr-10	209.84	204.24	210.66	202.1	24.99M	3.24%
21-Apr-10	210.58	211	211.9	208.66	15.63M	0.35%
22-Apr-10	222.31	208.21	224.89	208.21	65.31M	5.57%
23-Apr-10	226.06	223	229.4	221.1	31.78M	1.69%
26-Apr-10	225.16	226.4	227.9	224.11	12.15M	-0.40%
27-Apr-10	221.78	225.2	225.5	220.91	11.09M	-1.50%
28-Apr-10	223.22	220.4	225.19	218.25	18.68M	0.65%
29-Apr-10	227.4	224	228.5	223.5	21.39M	1.87%
30-Apr-10	230.07	228	231.89	228	19.15M	1.17%
3-May-10	229.72	229	230.5	227.71	13.16M	-0.15%
4-May-10	228.01	230.5	231.59	227.31	13.40M	-0.74%
5-May-10	227.62	226	228.5	224.05	16.72M	-0.17%
6-May-10	231.16	228	232	226.23	17.75M	1.56%
7-May-10	222.62	227.52	229.18	221.84	16.09M	-3.69%
10-May-10	230.78	225	232.51	224.22	14.79M	3.67%
11-May-10	228.78	231.4	233.9	228.12	18.38M	-0.87%
12-May-10	232.42	229	233.9	228.2	20.20M	1.59%
